prime,prime.result,distance,target,operand,congruent,counterbalance,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63
3+4+1=,8,-4,12,A,no,1,473,698,645,558,557,999,525,580,602,601,590,806,752,589,494,570,591,473,978,623,675,655,526,933,988,676,559,473,622,569,484,589,644
3+6+1=,10,-2,12,A,no,1,,698,687,601,461,935,558,709,623,612,515,719,623,516,559,472,590,633,794,838,655,698,473,914,525,773,677,644,580,666,484,537,666
6+3+1=,10,-2,12,A,no,1,645,687,,559,344,698,751,515,,590,709,623,742,602,580,611,451,697,848,,516,,462,827,655,816,730,656,633,516,558,536,569
1+5+3=,9,-4,13,A,no,1,645,655,837,623,494,622,644,591,569,537,601,688,634,387,569,547,580,634,945,547,752,568,526,633,827,612,656,559,472,548,494,623,634
1+2+6=,9,-4,13,A,no,1,344,,644,622,547,666,677,462,699,612,580,633,537,645,472,601,484,623,731,623,666,633,504,849,772,634,397,612,612,547,484,365,645
1+4+6=,11,-2,13,A,no,1,473,731,622,462,365,622,655,558,591,537,472,623,677,580,622,,569,935,720,763,666,611,505,,784,688,568,257,505,612,569,547,612
4+6+1=,11,-2,13,A,no,1,451,741,514,634,387,676,741,612,570,720,,,546,279,677,601,634,720,709,752,709,677,558,741,816,784,729,698,601,493,484,462,494
1+3+2=,6,0,6,A,yes,1,504,741,602,,397,612,505,462,622,537,558,611,548,505,527,591,568,666,934,687,774,623,526,591,698,773,612,579,633,645,536,644,505
1+2+3=,6,0,6,A,yes,1,376,816,600,269,548,344,569,612,580,,633,633,536,558,537,570,494,654,763,558,730,611,504,687,677,634,494,494,611,504,471,386,570
1+3+2=,6,0,6,A,yes,1,483,741,504,408,408,816,644,643,601,,558,321,730,439,504,600,515,622,731,966,,558,580,698,440,720,505,601,527,,558,,644
1+2+3=,6,0,6,A,yes,1,527,698,505,494,473,623,473,623,623,547,483,602,655,579,548,386,483,559,611,505,666,633,526,515,580,794,,666,623,365,472,515,730
4+2+1=,7,0,7,A,yes,1,515,741,494,676,355,741,451,590,537,612,602,,559,,537,569,677,623,686,494,462,612,547,623,538,655,591,376,505,537,505,483,472
1+4+2=,7,0,7,A,yes,1,397,709,666,,452,656,666,623,622,644,,570,752,493,557,515,472,719,677,914,,,548,655,763,,601,482,408,612,451,527,472
4+2+1=,7,0,7,A,yes,1,472,666,558,494,504,644,591,526,677,656,,741,462,516,548,472,602,547,880,548,483,665,462,622,880,569,612,526,505,482,516,505,516
1+4+2=,7,0,7,A,yes,1,462,676,699,,472,731,344,461,601,645,558,676,516,623,494,612,408,645,988,655,741,548,,687,816,580,580,676,,558,504,473,634
5+2+1=,8,0,8,A,yes,1,515,697,473,892,537,558,568,612,483,516,762,644,,537,462,591,548,698,742,322,515,623,602,827,752,816,612,656,623,601,493,516,494
5+1+2=,8,0,8,A,yes,1,547,687,526,,602,699,666,505,601,709,687,655,817,677,505,624,514,634,687,,656,731,602,720,763,709,462,622,548,751,494,473,494
1+5+2=,8,0,8,A,yes,1,559,547,,634,473,656,644,418,634,558,719,622,881,559,570,591,623,,772,623,548,645,418,687,611,709,559,687,601,526,430,290,580
1+4+3=,8,0,8,A,yes,1,526,677,580,580,332,,590,537,601,548,838,,836,601,494,,558,740,634,516,665,687,462,752,763,548,698,774,698,623,525,515,548
2+1+6=,9,0,9,A,yes,1,601,645,601,494,612,591,645,580,515,558,537,538,613,,623,634,300,1107,591,1063,677,860,462,612,805,719,,795,611,774,440,516,
5+1+3=,9,0,9,A,yes,1,494,741,569,440,548,633,,473,569,,537,483,934,688,601,558,580,698,623,494,602,623,419,634,709,751,580,740,537,591,482,505,568
1+6+2=,9,0,9,A,yes,1,612,742,548,654,440,784,622,570,591,450,633,720,634,515,611,645,526,548,633,752,752,591,623,612,956,827,559,537,494,591,430,483,484
3+2+4=,9,0,9,A,yes,1,677,,677,504,484,,569,484,611,612,537,548,698,376,645,504,601,,591,740,827,,516,677,688,623,784,,559,590,505,494,
3+5+2=,10,0,10,A,yes,1,343,483,472,505,473,623,483,312,816,537,516,483,741,558,772,569,515,1096,601,526,666,612,397,784,752,569,516,559,472,612,472,514,612
1+2+7=,10,0,10,A,yes,1,516,515,559,472,461,644,472,450,644,537,,504,580,591,484,516,623,655,441,568,654,473,,741,859,645,655,591,570,515,430,602,548
7+2+1=,10,0,10,A,yes,1,472,558,439,483,441,698,590,440,526,612,,505,860,430,623,570,483,838,526,473,698,,495,752,742,590,601,515,495,548,440,591,526
1+5+4=,10,0,10,A,yes,1,462,655,741,462,462,859,591,795,880,472,655,527,826,548,784,482,451,527,612,516,623,570,418,762,697,633,569,495,537,483,430,579,
6+4+1=,11,0,11,A,yes,1,709,688,601,559,602,816,452,536,580,601,881,409,719,612,806,645,613,772,773,516,762,354,559,1031,612,676,880,644,494,602,493,580,634
4+1+6=,11,0,11,A,yes,1,731,698,580,923,495,914,612,559,827,666,729,569,784,655,697,,612,1289,709,,752,590,484,924,774,795,645,569,559,762,559,322,569
2+6+3=,11,0,11,A,yes,1,548,676,602,656,311,751,,537,558,494,860,547,881,752,763,688,,698,601,655,699,569,473,763,923,763,537,527,559,666,515,462,602
6+1+4=,11,0,11,A,yes,1,344,730,,612,547,,666,698,666,526,472,580,655,590,569,783,729,718,440,591,698,,580,816,699,730,559,623,537,591,,483,558
1+9+2=,12,0,12,A,yes,1,440,,634,677,537,815,654,612,580,397,,634,484,461,623,525,570,644,698,461,686,623,526,881,903,622,709,602,547,686,515,537,558
5+6+1=,12,0,12,A,yes,1,505,740,655,688,568,741,473,548,,741,580,654,,504,634,677,559,741,677,1085,762,600,591,793,795,634,666,644,526,623,537,473,558
3+8+1=,12,0,12,A,yes,1,310,676,719,623,580,816,665,601,644,537,,612,718,483,516,643,644,730,774,526,752,740,537,365,634,644,666,644,580,462,482,526,774
9+2+1=,12,0,12,A,yes,1,568,709,,484,,762,601,526,602,740,515,633,418,,548,859,613,774,708,655,665,762,644,795,848,784,580,494,547,697,451,505,548
5+6+2=,13,0,13,A,yes,1,547,665,688,408,495,730,591,569,688,602,731,708,665,419,,580,568,686,913,622,688,537,623,740,633,720,590,558,634,654,494,494,472
1+7+5=,13,0,13,A,yes,1,590,687,548,623,526,612,,,569,633,688,623,580,623,666,,666,548,773,881,730,623,516,849,763,806,,634,579,536,527,,537
5+7+1=,13,0,13,A,yes,1,419,666,655,624,462,773,462,623,634,537,,397,623,537,752,988,655,806,795,666,527,547,526,645,623,730,719,537,462,687,515,526,450
7+5+1=,13,0,13,A,yes,1,461,655,698,547,419,709,644,548,654,,611,590,548,472,623,569,504,666,902,645,741,,687,622,591,783,376,634,634,515,516,,580
8-3-4=,1,1,0,S,no,1,451,612,514,655,461,623,462,547,719,494,461,451,719,,536,591,451,559,494,677,731,,729,730,666,569,709,526,546,612,482,654,495
7-4-2=,1,1,0,S,no,1,484,569,580,698,461,634,461,484,655,,,375,623,590,580,666,601,580,,537,688,505,,676,688,613,494,462,537,569,687,742,493
6-1-2=,3,3,0,S,no,1,527,558,581,473,440,537,,602,591,698,580,537,591,752,,504,548,,741,355,,483,536,634,602,548,590,471,645,483,462,570,515
9-4-2=,3,3,0,S,no,1,602,493,515,1095,,,473,709,623,525,483,504,547,591,462,613,515,859,1030,602,612,633,483,644,644,611,526,495,548,,761,527,623
7-3-4=,0,-1,1,S,no,1,784,634,623,881,462,365,495,655,688,580,623,677,752,537,655,624,623,763,795,1171,837,645,623,966,677,516,451,612,665,720,569,612,547
5-2-3=,0,-1,1,S,no,1,494,623,527,580,527,622,697,591,783,591,612,,849,623,451,419,366,612,827,923,859,,601,849,698,483,623,,623,,570,591,494
9-2-3=,4,3,1,S,no,1,537,602,493,632,462,774,569,634,817,494,591,537,774,698,849,773,687,955,848,730,881,688,580,784,558,676,688,623,613,591,569,537,538
9-2-3=,4,3,1,S,no,1,516,537,591,536,516,826,547,602,763,611,525,698,,,601,698,580,,731,741,784,547,559,945,699,720,581,,655,579,580,580,559
8-1-4=,3,1,2,S,no,1,666,913,623,601,461,666,387,590,558,559,484,688,720,462,418,645,548,632,944,590,515,645,536,677,601,634,591,676,613,559,612,601,751
9-1-5=,3,1,2,S,no,1,462,763,526,891,473,612,591,548,666,280,633,645,537,451,269,698,591,805,772,580,761,687,687,881,623,785,676,430,547,655,451,677,601
9-3-1=,5,3,2,S,no,1,505,655,634,419,547,559,591,644,655,505,559,611,558,602,612,784,,568,793,569,655,580,569,688,569,493,580,590,462,729,525,558,633
7-1-1=,5,3,2,S,no,1,385,602,591,428,515,472,505,,634,645,505,666,526,677,784,559,624,666,945,774,741,643,656,892,699,687,773,708,741,580,623,579,516
8-6-2=,0,-3,3,S,no,1,429,665,655,634,451,504,483,590,526,527,568,515,828,,,870,558,677,987,644,622,,602,805,719,,719,494,514,687,484,505,473
8-1-7=,0,-3,3,S,no,1,773,569,526,559,398,537,548,430,558,505,473,516,611,591,451,601,505,526,698,,774,311,570,752,623,613,634,505,634,654,527,504,643
9-1-6=,2,-1,3,S,no,1,408,665,623,655,430,591,472,633,688,473,568,559,299,516,451,440,698,698,654,644,676,569,527,773,558,515,623,526,741,601,505,591,
8-5-1=,2,-1,3,S,no,1,472,623,881,570,494,505,579,,741,548,516,634,580,462,601,601,558,655,784,903,709,579,623,720,633,536,773,634,505,794,450,645,741
8-2-5=,1,-3,4,S,no,1,505,591,527,634,419,644,537,355,558,451,580,418,623,462,752,547,484,570,720,612,634,376,,752,645,526,451,516,527,548,536,612,569
9-2-6=,1,-3,4,S,no,1,536,461,720,505,,709,516,602,525,462,612,,527,516,472,579,,527,955,515,805,591,569,527,504,601,741,634,559,557,461,612,462
8-1-2=,5,1,4,S,no,1,719,591,581,559,527,580,493,472,579,482,611,482,612,591,580,623,601,676,698,645,677,665,590,645,687,547,440,494,559,558,483,623,613
9-2-2=,5,1,4,S,no,1,612,708,795,516,473,644,484,504,559,450,590,462,687,537,559,601,677,591,1170,514,687,516,483,773,762,611,644,568,472,612,462,548,655
8-3-3=,2,-3,5,S,no,1,656,602,505,772,472,612,536,590,666,504,613,537,676,601,537,537,612,633,,472,590,591,698,644,612,538,666,473,655,429,719,559,
9-3-4=,2,-3,5,S,no,1,494,763,890,967,461,773,569,720,654,548,537,731,698,611,591,558,698,741,999,688,677,805,,816,,613,633,,419,709,687,484,570
7-1-2=,4,-1,5,S,no,1,482,602,526,462,461,634,526,,613,547,505,,719,677,580,558,612,924,752,579,698,579,591,848,386,579,269,,,611,,484,613
8-1-3=,4,-1,5,S,no,1,440,656,505,848,548,677,547,741,742,536,559,698,,408,805,569,570,633,1118,666,655,666,708,708,590,483,537,,462,665,440,570,548
7-2-5=,0,0,0,S,yes,1,332,483,516,,430,559,515,548,559,387,557,548,,784,473,708,601,751,838,472,688,548,483,,623,634,526,472,537,580,527,570,494
6-5-1=,0,0,0,S,yes,1,612,568,483,720,355,,505,612,612,483,763,429,783,451,494,,570,516,505,976,849,698,526,741,752,591,,548,441,536,559,407,623
9-5-4=,0,0,0,S,yes,1,752,,516,634,365,622,495,505,634,483,526,462,752,505,514,525,602,677,633,742,666,622,440,654,645,632,483,548,537,623,494,483,548
8-3-5=,0,0,0,S,yes,1,547,580,483,601,418,547,482,580,526,473,580,451,590,483,633,516,526,902,526,762,752,483,720,881,741,495,569,634,730,482,484,365,656
7-2-4=,1,0,1,S,yes,1,493,602,677,686,365,569,698,559,623,536,612,387,806,613,537,612,,,731,751,892,310,600,795,709,645,666,665,558,612,644,612,569
8-5-2=,1,0,1,S,yes,1,462,623,634,751,570,527,473,559,548,644,462,677,688,494,687,774,709,688,806,579,783,623,451,924,795,838,,461,515,741,569,612,827
9-6-2=,1,0,1,S,yes,1,729,601,665,730,590,698,452,580,752,526,557,622,752,602,740,,,697,785,719,817,816,709,945,655,548,665,,741,655,677,516,483
5-2-2=,1,0,1,S,yes,1,612,634,687,,430,687,655,570,,,429,644,258,611,655,493,505,817,698,698,,762,548,634,741,579,602,527,741,612,699,612,634
4-1-1=,2,0,2,S,yes,1,,623,590,548,483,666,558,612,665,471,462,656,623,482,665,591,623,806,859,784,709,569,537,752,494,731,612,,462,537,482,,622
8-1-5=,2,0,2,S,yes,1,430,645,741,430,515,785,462,537,548,537,547,688,600,419,408,558,494,687,827,633,494,623,591,613,505,622,686,633,580,591,580,505,601
7-4-1=,2,0,2,S,yes,1,516,741,677,720,387,804,516,602,623,526,601,676,634,634,741,591,472,,817,579,731,559,495,698,751,602,740,633,634,645,505,526,655
7-1-4=,2,0,2,S,yes,1,408,665,601,473,,677,527,601,591,537,601,483,924,516,258,526,462,602,817,720,838,613,699,838,515,484,740,655,548,580,515,570,
5-1-1=,3,0,3,S,yes,1,461,,677,559,569,581,568,568,827,570,472,581,611,570,419,580,493,656,988,645,656,504,688,580,537,591,483,665,290,709,462,676,569
9-5-1=,3,0,3,S,yes,1,323,634,548,698,430,537,515,504,559,687,505,570,537,612,580,515,558,526,891,966,708,580,,913,697,709,666,,505,763,547,495,590
8-1-4=,3,0,3,S,yes,1,398,559,537,774,483,483,484,838,591,558,473,677,623,601,494,493,579,537,773,579,731,633,526,580,686,708,634,634,548,644,537,547,709
9-2-4=,3,0,3,S,yes,1,462,580,558,849,441,602,,537,611,473,504,580,655,623,398,665,473,612,944,827,709,752,483,677,720,559,440,719,708,666,494,504,729
6-1-1=,4,0,4,S,yes,1,473,602,633,666,484,634,559,514,516,257,537,547,772,763,569,590,462,785,655,644,612,589,537,761,644,601,784,516,526,559,483,408,558
8-3-1=,4,0,4,S,yes,1,525,602,774,752,429,451,483,494,559,688,537,428,623,634,,623,655,516,987,623,656,,494,677,634,525,516,527,633,763,483,516,633
8-2-2=,4,0,4,S,yes,1,527,484,483,720,461,709,526,461,548,440,602,493,645,698,580,558,526,580,666,828,763,505,515,634,645,623,580,601,730,580,462,537,505
9-3-2=,4,0,4,S,yes,1,376,581,612,699,376,,548,569,612,526,570,484,730,462,526,602,580,611,731,784,697,548,472,709,741,527,,451,558,600,440,462,688
7-1-1=,5,0,5,S,yes,1,472,366,559,547,451,612,548,602,494,601,580,505,623,698,581,622,526,838,752,,601,353,526,1031,774,536,654,675,484,730,494,515,
8-2-1=,5,0,5,S,yes,1,645,612,516,440,473,677,493,484,568,666,666,633,946,450,601,590,,849,1031,,613,579,622,742,613,742,624,515,526,644,515,450,430
9-3-1=,5,0,5,S,yes,1,570,644,537,613,515,644,602,504,645,569,600,654,838,568,450,548,569,656,763,,752,719,537,687,645,677,,569,785,559,644,515,559
9-1-3=,5,0,5,S,yes,1,602,687,763,548,462,666,505,547,612,559,537,472,677,494,612,,602,654,901,633,645,548,602,848,687,547,546,591,687,643,494,515,611
